title,release_date,movie_url
Welcome to the Jungle,"June 25, 2026",https://www.themoviedb.org/movie/1169516-welcome-to-the-jungle
Cocktail 2,"June 19, 2026",https://www.themoviedb.org/movie/1392469
Toy Story 5,"June 17, 2026",https://www.themoviedb.org/movie/1084244-toy-story-5
Obsession,"June  5, 2026",https://www.themoviedb.org/movie/1339713-obsession
Disclosure Day,"June 10, 2026",https://www.themoviedb.org/movie/1275779-disclosure-day
Michael,"April 24, 2026",https://www.themoviedb.org/movie/936075-michael
Supergirl,"June 27, 2026",https://www.themoviedb.org/movie/1081003-supergirl
Deep Water,"April 30, 2026",https://www.themoviedb.org/movie/1127384-deep-water
The Sheep Detectives,"May  8, 2026",https://www.themoviedb.org/movie/1301421-the-sheep-detectives
Mortal Kombat II,"May  8, 2026",https://www.themoviedb.org/movie/931285-mortal-kombat-ii
Blast,"May 28, 2026",https://www.themoviedb.org/movie/1515729-blast
Backrooms,"May 27, 2026",https://www.themoviedb.org/movie/1083381-backrooms
Your Heart Will Be Broken,"March 26, 2026",https://www.themoviedb.org/movie/1523145
Bhooth Bangla,"April 16, 2026",https://www.themoviedb.org/movie/1239134
Salitan,"February 16, 2024",https://www.themoviedb.org/movie/1226293-salitan
Madness,"March 20, 1980",https://www.themoviedb.org/movie/28322-vacanze-per-un-massacro
Scary Movie,"June  3, 2026",https://www.themoviedb.org/movie/1273221-scary-movie
Damage,"December  2, 1992",https://www.themoviedb.org/movie/11012-damage
The Super Mario Galaxy Movie,"April  1, 2026",https://www.themoviedb.org/movie/1226863-the-super-mario-galaxy-movie
Voicemails for Isabelle,"June 19, 2026",https://www.themoviedb.org/movie/614945-voicemails-for-isabelle
The Mandalorian and Grogu,"May 20, 2026",https://www.themoviedb.org/movie/1228710-the-mandalorian-and-grogu
The Furious,"June 10, 2026",https://www.themoviedb.org/movie/1280738
Your Fault: London,"June 17, 2026",https://www.themoviedb.org/movie/1477317-your-fault-london
Avatar: Fire and Ash,"December 17, 2025",https://www.themoviedb.org/movie/83533-avatar-fire-and-ash
Karuppu,"May 14, 2026",https://www.themoviedb.org/movie/1367220
Swapped,"May  1, 2026",https://www.themoviedb.org/movie/1007757-swapped
KD – The Devil,"April 30, 2026",https://www.themoviedb.org/movie/1103473
Little Brother,"June 18, 2026",https://www.themoviedb.org/movie/1397385-little-brother
Lee Cronin's The Mummy,"April 15, 2026",https://www.themoviedb.org/movie/1304313-lee-cronin-s-the-mummy
Graphic Desires,"August 31, 2023",https://www.themoviedb.org/movie/976912-graphic-desires
Project Hail Mary,"March 21, 2026",https://www.themoviedb.org/movie/687163-project-hail-mary
Toy Story 4,"June 28, 2019",https://www.themoviedb.org/movie/301528-toy-story-4
Toy Story,"November 22, 1995",https://www.themoviedb.org/movie/862-toy-story
Masters of the Universe,"June  3, 2026",https://www.themoviedb.org/movie/454639-masters-of-the-universe
The Punisher: One Last Kill,"May 12, 2026",https://www.themoviedb.org/movie/1439930-the-punisher-one-last-kill
Peddi,"June  3, 2026",https://www.themoviedb.org/movie/1057265
Dhurandhar: The Revenge,"March 18, 2026",https://www.themoviedb.org/movie/1582770
In the Grey,"May 13, 2026",https://www.themoviedb.org/movie/1122573-in-the-grey
The Shawshank Redemption,"September 23, 1994",https://www.themoviedb.org/movie/278-the-shawshank-redemption
Avatar Aang: The Last Airbender,"October  9, 2026",https://www.themoviedb.org/movie/980431-avatar-aang-the-last-airbender
Citizen Vigilante,"June 19, 2026",https://www.themoviedb.org/movie/1413976-citizen-vigilante
Hoppers,"March  4, 2026",https://www.themoviedb.org/movie/1327819-hoppers
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"August 14, 2025",https://www.themoviedb.org/movie/1311031
Seven Snipers,"April 30, 2026",https://www.themoviedb.org/movie/1288341-seven-snipers
